n_compared,mae_score,mae_category,rmse_category,mape_category,r2_category,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,qwk,spearman_category,cat1_precision,cat1_recall,cat1_f1,cat1_support,cat2_precision,cat2_recall,cat2_f1,cat2_support,cat3_precision,cat3_recall,cat3_f1,cat3_support,cat4_precision,cat4_recall,cat4_f1,cat4_support,cat5_precision,cat5_recall,cat5_f1,cat5_support,dataset
13,14.615384615384615,0.46153846153846156,1.1766968108291043,46.15384615384615,0.6343750000000001,0.8461538461538461,0.6666666666666666,0.875,0.9285714285714286,1.0,0.8461538461538461,0.9120879120879122,0.8163265306122449,0.9187795405622854,1.0,0.75,0.8571428571428571,8,,,,0,,,,0,0.0,,,0,1.0,1.0,1.0,5,Hate_Crimes_
31,39.03225806451613,1.6129032258064515,2.214322877642647,42.580645161290334,-3.1116928446771395,0.3548387096774194,0.7222222222222222,0.45833333333333337,0.6825396825396824,0.9466666666666665,0.3548387096774194,0.5428571428571429,0.29249249249249243,0.5492563555721134,0.0,,,0,,0.0,,6,1.0,1.0,1.0,1,1.0,0.16666666666666666,0.2857142857142857,12,0.8888888888888888,0.6666666666666666,0.761904761904762,12,Health__Lifestyle_Data_for_Diabetes_Prediction
15,14.666666666666666,0.6,1.0,31.666666666666664,0.5938628158844765,0.5333333333333333,0.5654761904761905,0.5866666666666667,0.5875,0.6488095238095238,0.5333333333333333,0.6013888888888889,0.8207171314741035,0.88804769655463,1.0,0.6,0.7499999999999999,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.5,1.0,0.6666666666666666,1,,0.0,,3,0.42857142857142855,1.0,0.6,3,Healthcare_Dataset
10,10.0,0.3,0.5477225575051661,13.333333333333334,0.8333333333333334,0.7,0.5,0.5555555555555555,0.9,0.9,0.7,0.8666666666666667,0.9142857142857143,0.916515138991168,,,,0,1.0,0.6666666666666666,0.8,6,0.0,0.0,,1,0.0,,,0,1.0,1.0,1.0,3,Healthcare_Real-Time_Risk_Dataset__
6,28.333333333333332,1.1666666666666667,2.041241452319315,25.833333333333336,-0.9480519480519474,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6785714285714286,0.8666666666666666,0.6666666666666666,0.7857142857142857,0.4444444444444444,0.6928203230275509,0.3333333333333333,1.0,0.5,1,,,,0,,,,0,,0.0,,1,1.0,0.75,0.8571428571428571,4,Healthcare_SymptomsDisease_Classification_Dataset
13,35.38461538461539,1.6923076923076923,2.0754980866510833,50.64102564102565,-1.9836065573770498,0.23076923076923078,0.5454545454545454,0.4,0.5833333333333334,0.6969696969696969,0.23076923076923078,0.7222222222222222,0.32592592592592584,0.6504436355879909,0.09090909090909091,1.0,0.16666666666666669,1,,0.0,,3,,0.0,,2,,0.0,,5,1.0,1.0,1.0,2,Heart_Failure_Diagnosis_Data_for_Machine_Learning
68,6.617647058823529,0.3382352941176471,0.7174300539794393,22.549019607843135,0.8058093994778067,0.7352941176470589,0.5888461538461538,0.6038461538461538,0.5941738548190161,0.7252450980392157,0.7352941176470589,0.7286768470829192,0.9048456740764432,0.8913437896522302,0.7692307692307693,0.7692307692307693,0.7692307692307693,26,0.16666666666666666,0.125,0.14285714285714288,8,0.2,0.25,0.22222222222222224,4,0.9333333333333333,0.875,0.9032258064516129,16,0.875,1.0,0.9333333333333333,14,High_School_Student_Performance_Demographics
25,7.2,0.32,0.6324555320336759,13.266666666666666,0.8600223964165734,0.72,0.5533333333333333,0.5814285714285715,0.7013888888888888,0.7226666666666667,0.72,0.7741545893719808,0.9318429661941112,0.9253492712891906,0.6666666666666666,0.8571428571428571,0.75,7,0.0,0.0,,2,0.5,0.5,0.5,2,0.6,0.75,0.6666666666666665,4,1.0,0.8,0.888888888888889,10,Home_Loan_Approval_
12,5.833333333333333,0.4166666666666667,0.8660254037844386,37.5,0.7372262773722628,0.75,0.75,0.6785714285714286,0.7444444444444445,0.9318181818181818,0.75,0.8393939393939395,0.8656716417910448,0.8673928851411141,1.0,0.7142857142857143,0.8333333333333333,7,,0.0,,1,0.25,1.0,0.4,1,,,,0,1.0,1.0,1.0,3,Homicides__
39,8.333333333333334,0.38461538461538464,0.8320502943378437,25.85470085470086,0.38058823529411756,0.717948717948718,0.444683908045977,0.4851851851851852,0.6753968253968253,0.784662356321839,0.717948717948718,0.850768049155146,0.7637424276419116,0.6854857826727665,0.8620689655172413,0.9259259259259259,0.8928571428571429,27,,0.0,,7,0.25,0.5,0.3333333333333333,2,0.0,0.0,,1,0.6666666666666666,1.0,0.8,2,Hospital_Management_Dataset
15,10.666666666666666,0.4666666666666667,0.7745966692414834,20.333333333333332,0.8175675675675675,0.6,0.5,0.5285714285714286,0.6904761904761906,0.8666666666666667,0.6,0.7159863945578231,0.8870292887029289,0.9157208496762561,1.0,0.7142857142857143,0.8333333333333333,7,0.5,1.0,0.6666666666666666,2,0.0,,,0,0.0,0.0,,1,1.0,0.4,0.5714285714285715,5,Human_Resource_Dataset_
36,4.444444444444445,0.1388888888888889,0.5527707983925667,9.814814814814815,0.9048762911361998,0.9166666666666666,0.8125,0.8391304347826086,0.747953216374269,0.9791666666666666,0.9166666666666666,0.9359974009096815,0.9522661523625844,0.9602151249553995,1.0,0.9565217391304348,0.9777777777777777,23,,,,0,1.0,0.5,0.6666666666666666,2,0.25,1.0,0.4,1,1.0,0.9,0.9473684210526316,10,Human_Resources_Data_Set__
5,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,5,,,,0,,,,0,,,,0,,,,0,Iris_Flower_Dataset
16,5.9375,0.25,1.0,25.0,,0.9375,0.5,0.9375,0.967741935483871,1.0,0.9375,0.967741935483871,0.0,,1.0,0.9375,0.967741935483871,16,,,,0,,,,0,,,,0,0.0,,,0,LEGO_Sets_
